loss,epoch,idx
"tf.Tensor(0.5287024, shape=(), dtype=float32)",1,100
"tf.Tensor(0.519549, shape=(), dtype=float32)",1,101
"tf.Tensor(0.52583784, shape=(), dtype=float32)",1,102
"tf.Tensor(0.5254824, shape=(), dtype=float32)",1,103
"tf.Tensor(0.52685046, shape=(), dtype=float32)",1,104
"tf.Tensor(0.52608216, shape=(), dtype=float32)",1,105
"tf.Tensor(0.54313403, shape=(), dtype=float32)",1,106
"tf.Tensor(0.5152978, shape=(), dtype=float32)",1,107
"tf.Tensor(0.5226797, shape=(), dtype=float32)",1,108
"tf.Tensor(0.5242245, shape=(), dtype=float32)",1,109
"tf.Tensor(0.5256216, shape=(), dtype=float32)",1,110
"tf.Tensor(0.5147778, shape=(), dtype=float32)",1,111
"tf.Tensor(0.5274721, shape=(), dtype=float32)",1,112
"tf.Tensor(0.50651777, shape=(), dtype=float32)",1,113
"tf.Tensor(0.5233367, shape=(), dtype=float32)",1,114
"tf.Tensor(0.5232641, shape=(), dtype=float32)",1,115
"tf.Tensor(0.5255283, shape=(), dtype=float32)",1,116
"tf.Tensor(0.50612557, shape=(), dtype=float32)",1,117
"tf.Tensor(0.5162971, shape=(), dtype=float32)",1,118
"tf.Tensor(0.5269285, shape=(), dtype=float32)",1,119
"tf.Tensor(0.54214483, shape=(), dtype=float32)",1,120
"tf.Tensor(0.53093296, shape=(), dtype=float32)",1,121
"tf.Tensor(0.5174182, shape=(), dtype=float32)",1,122
"tf.Tensor(0.49790293, shape=(), dtype=float32)",1,123
"tf.Tensor(0.51874256, shape=(), dtype=float32)",1,124
"tf.Tensor(0.5188745, shape=(), dtype=float32)",1,125
"tf.Tensor(0.51657546, shape=(), dtype=float32)",1,126
"tf.Tensor(0.519066, shape=(), dtype=float32)",1,127
"tf.Tensor(0.499088, shape=(), dtype=float32)",1,128
"tf.Tensor(0.53993654, shape=(), dtype=float32)",1,129
"tf.Tensor(0.5025699, shape=(), dtype=float32)",1,130
"tf.Tensor(0.5107912, shape=(), dtype=float32)",1,131
"tf.Tensor(0.50428444, shape=(), dtype=float32)",1,132
"tf.Tensor(0.50795585, shape=(), dtype=float32)",1,133
"tf.Tensor(0.5163564, shape=(), dtype=float32)",1,134
"tf.Tensor(0.5015203, shape=(), dtype=float32)",1,135
"tf.Tensor(0.51171374, shape=(), dtype=float32)",1,136
"tf.Tensor(0.5099253, shape=(), dtype=float32)",1,137
"tf.Tensor(0.48780662, shape=(), dtype=float32)",1,138
"tf.Tensor(0.5171445, shape=(), dtype=float32)",1,139
"tf.Tensor(0.50585455, shape=(), dtype=float32)",1,140
"tf.Tensor(0.5149194, shape=(), dtype=float32)",1,141
"tf.Tensor(0.50438666, shape=(), dtype=float32)",1,142
"tf.Tensor(0.52396476, shape=(), dtype=float32)",1,143
"tf.Tensor(0.5201394, shape=(), dtype=float32)",1,144
"tf.Tensor(0.49483603, shape=(), dtype=float32)",1,145
"tf.Tensor(0.50384605, shape=(), dtype=float32)",1,146
"tf.Tensor(0.5050459, shape=(), dtype=float32)",1,147
"tf.Tensor(0.5174111, shape=(), dtype=float32)",1,148
"tf.Tensor(0.5182001, shape=(), dtype=float32)",1,149
"tf.Tensor(0.506242, shape=(), dtype=float32)",1,150
"tf.Tensor(0.5088336, shape=(), dtype=float32)",1,151
"tf.Tensor(0.5013888, shape=(), dtype=float32)",1,152
